subject,series,n_frames,duration_sec,n_trials,has_nan,amp_max,n_HandStart,n_FirstDigitTouch,n_BothStartLoadPhase,n_LiftOff,n_Replace,n_BothReleased
4,5,123027,246.1,34,False,2273.0,5100,5100,5100,5100,5100,5100
4,6,243659,487.3,34,False,3747.0,5100,5100,5100,5100,5100,5100
4,7,121495,243.0,34,False,3419.0,5100,5100,5100,5100,5100,5100
4,8,121920,243.8,34,False,2478.0,5100,5100,5100,5100,5100,5100
5,1,227967,455.9,28,False,23603.0,4200,4200,4200,4200,4200,4200
5,2,138058,276.1,34,False,2694.0,5100,5100,5100,5100,5100,5100
5,3,259176,518.4,34,False,2942.0,5100,5100,5100,5100,5100,5100
5,4,136440,272.9,34,False,2468.0,5100,5100,5100,5100,5100,5100
5,5,265586,531.2,34,False,2988.0,5100,5100,5100,5100,5100,5100
5,6,226735,453.5,28,False,3874.0,4200,4200,4200,4200,4200,4200
5,7,135260,270.5,34,False,2713.0,5100,5100,5100,5100,5100,5100
5,8,129504,259.0,34,False,2692.0,5100,5100,5100,5100,5100,5100
6,1,149580,299.2,34,False,3678.0,5100,5100,5100,5100,5100,5100
6,2,267738,535.5,34,False,2346.0,5100,5100,5100,5100,5100,5100
6,3,221892,443.8,28,False,3015.0,4200,4200,4200,4200,4200,4200
6,4,137731,275.5,34,False,2459.0,5100,5100,5100,5100,5100,5100
6,5,215765,431.5,28,False,4320.0,4200,4200,4200,4200,4200,4200
6,6,257483,515.0,34,False,2368.0,5100,5100,5100,5100,5100,5100
6,7,133391,266.8,34,False,2337.0,5100,5100,5100,5100,5100,5100
6,8,135837,271.7,34,False,2418.0,5100,5100,5100,5100,5100,5100
7,1,307632,615.3,34,False,5385.0,5100,5100,5100,5100,5100,5100
7,2,212898,425.8,34,False,4993.0,5100,5100,5100,5100,5100,5100
7,3,223684,447.4,28,False,4918.0,4200,4200,4200,4200,4200,4200
7,4,263711,527.4,34,False,4544.0,5100,5100,5100,5100,5100,5100
7,5,212546,425.1,28,False,4233.0,4200,4200,4200,4200,4200,4200
7,6,147148,294.3,34,False,4115.0,5100,5100,5100,5100,5100,5100
7,7,144897,289.8,34,False,3853.0,5100,5100,5003,5100,5100,5100
7,8,140424,280.8,34,False,3741.0,5100,5100,4527,5100,5100,5100
8,1,200430,400.9,28,False,2606.0,4200,4200,4200,4200,4200,4200
8,2,239180,478.4,34,False,3066.0,5100,5100,5100,5100,5100,5100
8,3,123701,247.4,34,False,2585.0,5100,5100,5100,5100,5100,5100
8,4,242562,485.1,34,False,2427.0,5100,5100,5100,5100,5100,5100
8,5,118716,237.4,34,False,3473.0,5100,5100,5100,5100,5100,5100
8,6,191769,383.5,28,False,3096.0,4200,4200,4200,4200,4200,4200
8,7,118614,237.2,34,False,2134.0,5100,5100,5100,5100,5100,5100
8,8,124095,248.2,34,False,2609.0,5100,5100,5100,5100,5100,5100
9,1,141426,282.9,34,False,19046.0,5100,5100,5100,5100,5100,5100
9,2,209212,418.4,28,False,3391.0,4200,4200,4200,4200,4200,4200
9,3,252772,505.5,34,False,3868.0,5100,5100,5100,5100,5100,5100
9,4,208470,416.9,28,False,3404.0,4200,4200,4200,4200,4200,4200
9,5,248301,496.6,34,False,2800.0,5100,5100,5100,5100,5100,5100
9,6,131609,263.2,34,False,2449.0,5100,5100,5100,5100,5100,5100
9,7,128210,256.4,34,False,2237.0,5100,5100,5100,5100,5100,5100
9,8,127494,255.0,34,False,2133.0,5100,5100,5100,5100,5100,5100
10,1,262387,524.8,34,False,3503.0,5100,5100,5100,5100,5100,5100
10,2,216873,433.7,28,False,1888.0,4200,4200,4200,4200,4200,4200
10,3,142976,286.0,34,False,2169.0,5100,5100,5100,5100,5100,5100
10,4,211225,422.4,28,False,2992.0,4200,4200,4200,4200,4200,4200
10,5,136568,273.1,34,False,2808.0,5100,5100,5100,5100,5100,5100
10,6,257334,514.7,34,False,2698.0,5100,5100,5100,5100,5100,5100
10,7,132819,265.6,34,False,2132.0,5100,5100,5100,5100,5100,5100
10,8,126733,253.5,34,False,2185.0,5100,5100,5100,5100,5100,5100
11,1,223400,446.8,28,False,4048.0,4200,4200,4200,4200,4200,4200
11,2,147697,295.4,34,False,6621.0,5100,5100,5100,5100,5100,5100
11,3,266245,532.5,34,False,3403.0,5100,5100,5100,5100,5100,5100
11,4,141452,282.9,34,False,5297.0,5100,5100,5100,5100,5100,5100
11,5,250788,501.6,34,False,4851.0,5100,5100,5100,5100,5100,5100
11,6,215983,432.0,28,False,3221.0,4200,4200,4200,4200,4200,4200
11,7,141183,282.4,34,False,3189.0,5100,5100,5100,5100,5100,5100
11,8,134289,268.6,34,False,2588.0,5100,5100,5100,5100,5100,5100
12,1,151123,302.2,34,False,2736.0,5100,5100,5100,5100,5100,5100
12,2,270047,540.1,34,False,3659.0,5100,5100,5100,5100,5100,5100
12,3,230872,461.7,28,False,5426.0,4200,4200,4200,4200,4200,4200
12,4,156229,312.5,34,False,2630.0,5100,5100,5100,5100,5100,5100
12,5,230568,461.1,28,False,8543.0,4200,4200,4200,4200,4200,4200
12,6,266571,533.1,34,False,4997.0,5100,5100,5100,5100,5100,5100
12,7,147835,295.7,34,False,6468.0,5100,5100,5100,5100,5100,5100
12,8,154678,309.4,34,False,5452.0,5100,5100,5100,5100,5100,5100
